deckname,makingday,lastplay,cards,laps,ave_priority,cardplays,today_plays,mistakes,close,corrects,consec_days
baseinfo,0,0.0,0,0,0.0,0,0,0,0,0,0
diction1,0,202505062211,88,54,100.0,7738,1224,213,6814,791,0
diction2,0,202302241532.0,6,20,102.16666666666669,121,120,0,115,6,0
diction3,0,202302191816.0,4,3,101.0,38,12,0,38,0,0
