front,back,addday,deck,f_rate,leaning_count,mistakes,close,corrects,r_range
enjoy,Šy‚µ‚Ş,1676797521,‰pŒê3,101,9,0,9,0,0
walk,•à‚­,1676797521,‰pŒê3,101,10,0,10,0,0
scream,‹©‚Ô,1676797522,‰pŒê3,101,9,0,9,0,0
rock,Î,1676797522,‰pŒê3,101,10,0,10,0,0
