front,back,addday,deck,f_rate,leaning_count,mistakes,close,corrects,r_range
‚¢‚¿,one,1677220314.7050073,‰pŒê2,102,16,0,15,1,1
‚É,two,1677220315.7138314,‰pŒê2,102,17,0,16,1,1
‚³‚ñ,three,1677220316.7052422,‰pŒê2,103,14,0,13,1,1
‚æ‚ñ,four,1677220317.4641669,‰pŒê2,102,25,0,24,1,1
‚²,five,1677220318.3158972,‰pŒê2,102,25,0,24,1,1
‚ë‚­,six,1677220374.7448618,‰pŒê2,102,24,0,23,1,1
